gamma_2,P_MAX,pearson_r,p_value
0.3100,100,-0.943565,0.015957
0.3100,200,-0.943565,0.015957
0.3100,300,-0.943565,0.015957
0.3100,400,-0.943565,0.015957
0.3100,500,-0.943565,0.015957
0.3100,600,-0.943565,0.015957
0.3100,750,-0.943565,0.015957
0.3100,1000,-0.943565,0.015957
0.3100,1250,-0.943565,0.015957
0.3100,1500,-0.943565,0.015957
0.3100,1750,-0.943565,0.015957
0.3100,2000,-0.943565,0.015957
0.3200,100,-0.943562,0.015958
0.3200,200,-0.943562,0.015958
0.3200,300,-0.943562,0.015958
0.3200,400,-0.943562,0.015958
0.3200,500,-0.943562,0.015958
0.3200,600,-0.943562,0.015958
0.3200,750,-0.943562,0.015958
0.3200,1000,-0.943562,0.015958
0.3200,1250,-0.943562,0.015958
0.3200,1500,-0.943562,0.015958
0.3200,1750,-0.943562,0.015958
0.3200,2000,-0.943562,0.015958
0.3300,100,-0.943561,0.015959
0.3300,200,-0.943561,0.015959
0.3300,300,-0.943561,0.015959
0.3300,400,-0.943561,0.015959
0.3300,500,-0.943561,0.015959
0.3300,600,-0.943561,0.015959
0.3300,750,-0.943561,0.015959
0.3300,1000,-0.943561,0.015959
0.3300,1250,-0.943561,0.015959
0.3300,1500,-0.943561,0.015959
0.3300,1750,-0.943561,0.015959
0.3300,2000,-0.943561,0.015959
0.3400,100,-0.943560,0.015959
0.3400,200,-0.943560,0.015959
0.3400,300,-0.943560,0.015959
0.3400,400,-0.943560,0.015959
0.3400,500,-0.943560,0.015959
0.3400,600,-0.943560,0.015959
0.3400,750,-0.943560,0.015959
0.3400,1000,-0.943560,0.015959
0.3400,1250,-0.943560,0.015959
0.3400,1500,-0.943560,0.015959
0.3400,1750,-0.943560,0.015959
0.3400,2000,-0.943560,0.015959
0.3500,100,-0.943560,0.015959
0.3500,200,-0.943560,0.015959
0.3500,300,-0.943560,0.015959
0.3500,400,-0.943560,0.015959
0.3500,500,-0.943560,0.015959
0.3500,600,-0.943560,0.015959
0.3500,750,-0.943560,0.015959
0.3500,1000,-0.943560,0.015959
0.3500,1250,-0.943560,0.015959
0.3500,1500,-0.943560,0.015959
0.3500,1750,-0.943560,0.015959
0.3500,2000,-0.943560,0.015959
0.3600,100,-0.943561,0.015958
0.3600,200,-0.943561,0.015959
0.3600,300,-0.943561,0.015959
0.3600,400,-0.943561,0.015959
0.3600,500,-0.943561,0.015959
0.3600,600,-0.943561,0.015959
0.3600,750,-0.943561,0.015959
0.3600,1000,-0.943561,0.015959
0.3600,1250,-0.943561,0.015959
0.3600,1500,-0.943561,0.015959
0.3600,1750,-0.943561,0.015959
0.3600,2000,-0.943561,0.015959
0.3700,100,-0.943562,0.015958
0.3700,200,-0.943562,0.015958
0.3700,300,-0.943562,0.015958
0.3700,400,-0.943562,0.015958
0.3700,500,-0.943562,0.015958
0.3700,600,-0.943562,0.015958
0.3700,750,-0.943562,0.015958
0.3700,1000,-0.943562,0.015958
0.3700,1250,-0.943562,0.015958
0.3700,1500,-0.943562,0.015958
0.3700,1750,-0.943562,0.015958
0.3700,2000,-0.943562,0.015958
0.3800,100,-0.943563,0.015958
0.3800,200,-0.943563,0.015958
0.3800,300,-0.943563,0.015958
0.3800,400,-0.943563,0.015958
0.3800,500,-0.943563,0.015958
0.3800,600,-0.943563,0.015958
0.3800,750,-0.943563,0.015958
0.3800,1000,-0.943563,0.015958
0.3800,1250,-0.943563,0.015958
0.3800,1500,-0.943563,0.015958
0.3800,1750,-0.943563,0.015958
0.3800,2000,-0.943563,0.015958
0.3900,100,-0.943564,0.015957
0.3900,200,-0.943564,0.015957
0.3900,300,-0.943564,0.015957
0.3900,400,-0.943564,0.015957
0.3900,500,-0.943564,0.015957
0.3900,600,-0.943564,0.015957
0.3900,750,-0.943564,0.015957
0.3900,1000,-0.943564,0.015957
0.3900,1250,-0.943564,0.015957
0.3900,1500,-0.943564,0.015957
0.3900,1750,-0.943564,0.015957
0.3900,2000,-0.943564,0.015957
0.4000,100,-0.943565,0.015957
0.4000,200,-0.943565,0.015957
0.4000,300,-0.943565,0.015957
0.4000,400,-0.943565,0.015957
0.4000,500,-0.943565,0.015957
0.4000,600,-0.943565,0.015957
0.4000,750,-0.943565,0.015957
0.4000,1000,-0.943565,0.015957
0.4000,1250,-0.943565,0.015957
0.4000,1500,-0.943565,0.015957
0.4000,1750,-0.943565,0.015957
0.4000,2000,-0.943565,0.015957
0.4100,100,-0.943566,0.015956
0.4100,200,-0.943566,0.015956
0.4100,300,-0.943566,0.015956
0.4100,400,-0.943566,0.015956
0.4100,500,-0.943566,0.015956
0.4100,600,-0.943566,0.015956
0.4100,750,-0.943566,0.015956
0.4100,1000,-0.943566,0.015956
0.4100,1250,-0.943566,0.015956
0.4100,1500,-0.943566,0.015956
0.4100,1750,-0.943566,0.015956
0.4100,2000,-0.943566,0.015956
0.4200,100,-0.943568,0.015956
0.4200,200,-0.943568,0.015956
0.4200,300,-0.943568,0.015956
0.4200,400,-0.943568,0.015956
0.4200,500,-0.943568,0.015956
0.4200,600,-0.943568,0.015956
0.4200,750,-0.943568,0.015956
0.4200,1000,-0.943568,0.015956
0.4200,1250,-0.943568,0.015956
0.4200,1500,-0.943568,0.015956
0.4200,1750,-0.943568,0.015956
0.4200,2000,-0.943568,0.015956
0.4300,100,-0.943569,0.015955
0.4300,200,-0.943569,0.015955
0.4300,300,-0.943569,0.015955
0.4300,400,-0.943569,0.015955
0.4300,500,-0.943569,0.015955
0.4300,600,-0.943569,0.015955
0.4300,750,-0.943569,0.015955
0.4300,1000,-0.943569,0.015955
0.4300,1250,-0.943569,0.015955
0.4300,1500,-0.943569,0.015955
0.4300,1750,-0.943569,0.015955
0.4300,2000,-0.943569,0.015955
0.4400,100,-0.943570,0.015955
0.4400,200,-0.943570,0.015955
0.4400,300,-0.943570,0.015955
0.4400,400,-0.943570,0.015955
0.4400,500,-0.943570,0.015955
0.4400,600,-0.943570,0.015955
0.4400,750,-0.943570,0.015955
0.4400,1000,-0.943570,0.015955
0.4400,1250,-0.943570,0.015955
0.4400,1500,-0.943570,0.015955
0.4400,1750,-0.943570,0.015955
0.4400,2000,-0.943570,0.015955
0.4500,100,-0.943571,0.015954
0.4500,200,-0.943571,0.015954
0.4500,300,-0.943571,0.015954
0.4500,400,-0.943571,0.015954
0.4500,500,-0.943571,0.015954
0.4500,600,-0.943571,0.015954
0.4500,750,-0.943571,0.015954
0.4500,1000,-0.943571,0.015954
0.4500,1250,-0.943571,0.015954
0.4500,1500,-0.943571,0.015954
0.4500,1750,-0.943571,0.015954
0.4500,2000,-0.943571,0.015954
0.4600,100,-0.943571,0.015954
0.4600,200,-0.943571,0.015954
0.4600,300,-0.943571,0.015954
0.4600,400,-0.943571,0.015954
0.4600,500,-0.943571,0.015954
0.4600,600,-0.943571,0.015954
0.4600,750,-0.943571,0.015954
0.4600,1000,-0.943571,0.015954
0.4600,1250,-0.943571,0.015954
0.4600,1500,-0.943571,0.015954
0.4600,1750,-0.943571,0.015954
0.4600,2000,-0.943571,0.015954
0.4700,100,-0.943572,0.015954
0.4700,200,-0.943572,0.015954
0.4700,300,-0.943572,0.015954
0.4700,400,-0.943572,0.015954
0.4700,500,-0.943572,0.015954
0.4700,600,-0.943572,0.015954
0.4700,750,-0.943572,0.015954
0.4700,1000,-0.943572,0.015954
0.4700,1250,-0.943572,0.015954
0.4700,1500,-0.943572,0.015954
0.4700,1750,-0.943572,0.015954
0.4700,2000,-0.943572,0.015954
0.4800,100,-0.943573,0.015954
0.4800,200,-0.943573,0.015954
0.4800,300,-0.943573,0.015954
0.4800,400,-0.943573,0.015954
0.4800,500,-0.943573,0.015954
0.4800,600,-0.943573,0.015954
0.4800,750,-0.943573,0.015954
0.4800,1000,-0.943573,0.015954
0.4800,1250,-0.943573,0.015954
0.4800,1500,-0.943573,0.015954
0.4800,1750,-0.943573,0.015954
0.4800,2000,-0.943573,0.015954
0.4900,100,-0.943573,0.015953
0.4900,200,-0.943573,0.015953
0.4900,300,-0.943573,0.015953
0.4900,400,-0.943573,0.015953
0.4900,500,-0.943573,0.015953
0.4900,600,-0.943573,0.015953
0.4900,750,-0.943573,0.015953
0.4900,1000,-0.943573,0.015953
0.4900,1250,-0.943573,0.015953
0.4900,1500,-0.943573,0.015953
0.4900,1750,-0.943573,0.015953
0.4900,2000,-0.943573,0.015953
0.5000,100,-0.943574,0.015953
0.5000,200,-0.943574,0.015953
0.5000,300,-0.943574,0.015953
0.5000,400,-0.943574,0.015953
0.5000,500,-0.943574,0.015953
0.5000,600,-0.943574,0.015953
0.5000,750,-0.943574,0.015953
0.5000,1000,-0.943574,0.015953
0.5000,1250,-0.943574,0.015953
0.5000,1500,-0.943574,0.015953
0.5000,1750,-0.943574,0.015953
0.5000,2000,-0.943574,0.015953
