lambda,N,p_max,mean_error_50,mean_error_100,mean_error_150,sliwinski_bound,dissonance_delta
26.0,1000,101,0.20647969382772793,0.17975179002979313,0.1796103788206747,0.07673191910753371,0.12974777472019422
26.0,1000,151,0.20941834563365927,0.18455924530841736,0.1795820767379734,0.07673191910753371,0.13268642652612556
27.0,1000,61,0.21199059414896282,0.17858415376798745,0.18248603852511583,0.07585326888556979,0.13613732526339303
27.0,1000,101,0.20427041367518442,0.17557257099466972,0.17320304920874344,0.07585326888556979,0.12841714478961463
27.0,1000,151,0.20027576216381482,0.17270799308310306,0.16951960719327552,0.07585326888556979,0.12442249327824503
28.0,1000,61,0.2210028660914576,0.1889393839927069,0.18594543442655623,0.07502540712510328,0.14597745896635433
28.0,1000,101,0.23104193390496477,0.19316050034954726,0.180312596335172,0.07502540712510328,0.1560165267798615
28.0,1000,151,0.22605178103153206,0.19386789109020724,0.1804820981997445,0.07502540712510328,0.15102637390642878
29.0,1000,61,0.20985963759640824,0.17525393411017867,0.1821958389868307,0.07424355109334252,0.13561608650306572
29.0,1000,101,0.20957878105419897,0.18480305204169112,0.18452450360197067,0.07424355109334252,0.13533522996085645
29.0,1000,151,0.1740891009790814,0.1633495771419275,0.17034662013447252,0.07424355109334252,0.09984554988573888
30.0,1000,61,0.21051282219718054,0.17897466168611703,0.17623799230298415,0.07350352594880151,0.13700929624837904
30.0,1000,101,0.22784935838288425,0.18871539125478864,0.1774230744179366,0.07350352594880151,0.15434583243408273
30.0,1000,151,0.22903379030046864,0.19882091291885004,0.18428263163045633,0.07350352594880151,0.1555302643516671
20.0,1500,61,0.2426081589855594,0.2068162694900646,0.20598850420992385,0.08345205017383352,0.15915610881172587
20.0,1500,101,0.25624241810829373,0.2147454955311359,0.20571409518608325,0.08345205017383352,0.17279036793446023
20.0,1500,151,0.2374868794598356,0.20700043819835073,0.20504637529573236,0.08345205017383352,0.1540348292860021
21.0,1500,61,0.20282066324279083,0.19519364247384124,0.20561477798174493,0.08211468468826277,0.12070597855452805
21.0,1500,101,0.2161846195227648,0.19257887096332651,0.1949452920173465,0.08211468468826277,0.13406993483450202
21.0,1500,151,0.2377251238759723,0.20154879110037782,0.19855029915808084,0.08211468468826277,0.15561043918770953
22.0,1500,61,0.23365495753951537,0.19209503177209128,0.20317480556835876,0.08087886328716812,0.15277609425234726
22.0,1500,101,0.26011817869632753,0.2001902568018548,0.19060648391366594,0.08087886328716812,0.1792393154091594
22.0,1500,151,0.22928726260178842,0.19698280630999046,0.19209690512070113,0.08087886328716812,0.1484083993146203
23.0,1500,61,0.24886810906047996,0.21411039355431072,0.20330179311308627,0.07973224722595025,0.16913586183452972
23.0,1500,101,0.23380286609208148,0.2082861320945855,0.19579193089164504,0.07973224722595025,0.15407061886613121
23.0,1500,151,0.2369093431991062,0.2068188515214535,0.19091091061259224,0.07973224722595025,0.15717709597315593
24.0,1500,61,0.21634501874008782,0.1990972447651527,0.19544808569647826,0.07866449511103121,0.1376805236290566
24.0,1500,101,0.2251597601487814,0.20940666489508616,0.1932709828802345,0.07866449511103121,0.14649526503775018
24.0,1500,151,0.21582708910348372,0.2066624813689795,0.19340459131157473,0.07866449511103121,0.1371625939924525
25.0,1500,61,0.18807547839679598,0.18483572162806858,0.178354397845102,0.07766686681995148,0.11040861157684449
25.0,1500,101,0.2159245819809314,0.19685398744528243,0.17983389913668893,0.07766686681995148,0.1382577151609799
25.0,1500,151,0.2176267228655368,0.19908361105315847,0.1781051410226262,0.07766686681995148,0.1399598560455853
26.0,1500,61,0.2014274464183959,0.17539716608264416,0.18482781406448787,0.07673191910753371,0.1246955273108622
26.0,1500,101,0.20684156856452726,0.18140992402380682,0.18442591903020802,0.07673191910753371,0.13010964945699355
26.0,1500,151,0.21108182834658062,0.18681016752367952,0.18280085693037904,0.07673191910753371,0.1343499092390469
27.0,1500,61,0.21388619537472967,0.18103329188146922,0.18573904328993046,0.07585326888556979,0.13803292648915988
27.0,1500,101,0.20437506208369807,0.17652879597351123,0.17606021747001702,0.07585326888556979,0.1285217931981283
27.0,1500,151,0.20253501208314045,0.17227547253438844,0.17037162888912746,0.07585326888556979,0.12668174319757067
28.0,1500,61,0.2227463025388307,0.19075966736331287,0.1884275666525463,0.07502540712510328,0.14772089541372743
28.0,1500,101,0.23145942417492069,0.1927106202974577,0.18087214266998317,0.07502540712510328,0.1564340170498174
28.0,1500,151,0.22771606869693037,0.19498833050452144,0.1808399432751405,0.07502540712510328,0.1526906615718271
29.0,1500,61,0.2129748371576313,0.17747454256893408,0.18605861342865904,0.07424355109334252,0.13873128606428878
29.0,1500,101,0.21321991686555822,0.18790680252882971,0.18861915099449472,0.07424355109334252,0.1389763657722157
29.0,1500,151,0.1776298806170511,0.1671159222750079,0.17385570818796522,0.07424355109334252,0.10338632952370858
30.0,1500,61,0.21022270373395854,0.18017395128723776,0.17982679730809073,0.07350352594880151,0.13671917778515702
30.0,1500,101,0.22923022538260562,0.18924262612665468,0.18020521026721817,0.07350352594880151,0.15572669943380413
30.0,1500,151,0.2313220292610771,0.20138942236027957,0.18777603914394037,0.07350352594880151,0.1578185033122756
