lambda,N,p_max,mean_error_50,mean_error_100,sliwinski_bound,dissonance_delta
10.0,400,31,0.2543231288398953,0.2741627377780329,0.10857362047581294,0.14574950836408235
10.0,400,61,0.23032162083330654,0.2372311740477104,0.10857362047581294,0.1217480003574936
10.0,400,101,0.2503673786909028,0.2354854768336195,0.10857362047581294,0.14179375821508988
12.5,400,13,0.249505517355938,0.2570210125353989,0.098981337747179,0.15052417960875902
12.5,400,31,0.25265729731467174,0.2521014637324152,0.098981337747179,0.15367595956749275
12.5,400,61,0.25887935644818866,0.234032651672575,0.098981337747179,0.15989801870100967
12.5,400,101,0.2860537861058054,0.24329935611886466,0.098981337747179,0.1870724483586264
15.0,400,13,0.2208427155358096,0.2543317031293521,0.09231734326721376,0.12852537226859584
15.0,400,31,0.23467325013805124,0.23339058206699803,0.09231734326721376,0.1423559068708375
15.0,400,61,0.20969239665142225,0.19793869478923326,0.09231734326721376,0.11737505338420849
15.0,400,101,0.22737982810413931,0.20019410763841985,0.09231734326721376,0.13506248483692557
17.5,400,13,0.2277492654104125,0.2487954850055975,0.08734537176119352,0.14040389364921896
17.5,400,31,0.22231822512429503,0.22034687932022926,0.08734537176119352,0.1349728533631015
17.5,400,61,0.21887468331078466,0.1909497666709938,0.08734537176119352,0.13152931154959113
17.5,400,101,0.24509522866127775,0.20564009927383178,0.08734537176119352,0.15774985690008425
20.0,400,13,0.2426585145015785,0.24770382884764125,0.08345205017383352,0.159206464327745
20.0,400,31,0.2230736059987284,0.23115132714417605,0.08345205017383352,0.13962155582489488
20.0,400,61,0.23160799500600276,0.19988344357405347,0.08345205017383352,0.14815594483216926
20.0,400,101,0.2513640380139939,0.2130519726642639,0.08345205017383352,0.16791198784016037
22.5,400,13,0.2505624925874066,0.2481885337759815,0.08029509257926311,0.1702674000081435
22.5,400,31,0.2319467706993058,0.2193104259745722,0.08029509257926311,0.1516516781200427
22.5,400,61,0.20829836445285657,0.18653558127532452,0.08029509257926311,0.12800327187359345
22.5,400,101,0.23299682505738553,0.2001043963753399,0.08029509257926311,0.1527017324781224
25.0,400,13,0.2340574699306613,0.24297080102412813,0.07766686681995148,0.1563906031107098
25.0,400,31,0.20054963652080635,0.20862902110994952,0.07766686681995148,0.12288276970085486
25.0,400,61,0.1745327216625141,0.16571823059120683,0.07766686681995148,0.09686585484256262
25.0,400,101,0.20603250538063544,0.18638765407695132,0.07766686681995148,0.12836563856068395
27.5,400,13,0.21167154591023954,0.2309402670992366,0.07543330387839908,0.13623824203184046
27.5,400,31,0.20159351330543665,0.1984687124955347,0.07543330387839908,0.12616020942703757
27.5,400,61,0.17440069321524393,0.16399674963043395,0.07543330387839908,0.09896738933684485
27.5,400,101,0.1935748066177286,0.17478414468645811,0.07543330387839908,0.11814150273932952
30.0,400,13,0.235106512233282,0.23182286960077542,0.07350352594880151,0.1616029862844805
30.0,400,31,0.21438847718248508,0.20324159884243478,0.07350352594880151,0.14088495123368355
30.0,400,61,0.2117377716833989,0.17760697594958152,0.07350352594880151,0.13823424573459742
30.0,400,101,0.22310731723342803,0.18573002054411333,0.07350352594880151,0.14960379128462653
5.0,600,13,0.3688244407169108,0.36991253678188357,0.15533373363990297,0.21349070707700782
5.0,600,31,0.4184476689817086,0.3992425379925814,0.15533373363990297,0.2631139353418056
5.0,600,61,0.5079888293871749,0.4741985923344808,0.15533373363990297,0.35265509574727194
5.0,600,101,0.5579220720291258,0.5138209466771976,0.15533373363990297,0.4025883383892228
7.5,600,13,0.33475889183075475,0.35205755509384146,0.124075450506158,0.21068344132459677
7.5,600,31,0.3213175754453755,0.32879157578998475,0.124075450506158,0.1972421249392175
7.5,600,61,0.33527887658235345,0.31745903510534423,0.124075450506158,0.21120342607619547
7.5,600,101,0.41811476957847005,0.39535718925142455,0.124075450506158,0.29403931907231207
10.0,600,13,0.2640758973294992,0.2952261918343418,0.10857362047581294,0.15550227685368628
10.0,600,31,0.263509943260085,0.28021865663313034,0.10857362047581294,0.15493632278427205
10.0,600,61,0.23171171230369164,0.2365854063947282,0.10857362047581294,0.1231380918278787
10.0,600,101,0.25245880051935804,0.23419717494468054,0.10857362047581294,0.1438851800435451
12.5,600,13,0.24889320417544727,0.2596330352287633,0.098981337747179,0.14991186642826826
12.5,600,31,0.25429678840864506,0.2599866117709739,0.098981337747179,0.15531545066146607
12.5,600,61,0.26660962668131943,0.24122700173872366,0.098981337747179,0.16762828893414045
12.5,600,101,0.287140990367954,0.24700831726664485,0.098981337747179,0.188159652620775
15.0,600,13,0.2226025366693371,0.25274545136899723,0.09231734326721376,0.13028519340212336
15.0,600,31,0.2377854567834368,0.23253685033494575,0.09231734326721376,0.14546811351622302
15.0,600,61,0.21475157581886278,0.20148839174847133,0.09231734326721376,0.12243423255164902
15.0,600,101,0.23358940069280076,0.2025375376135019,0.09231734326721376,0.14127205742558702
17.5,600,13,0.23165878861759487,0.25048940293314953,0.08734537176119352,0.14431341685640137
17.5,600,31,0.2236749089569986,0.22264742076905322,0.08734537176119352,0.1363295371958051
17.5,600,61,0.22373248274961735,0.19480342915431983,0.08734537176119352,0.13638711098842382
17.5,600,101,0.2445871882543261,0.20939197051075312,0.08734537176119352,0.15724181649313257
20.0,600,13,0.2441188859471563,0.24691052366132665,0.08345205017383352,0.1606668357733228
20.0,600,31,0.22492638394622808,0.23502570966975891,0.08345205017383352,0.14147433377239454
20.0,600,61,0.2368652733085822,0.2006856669487195,0.08345205017383352,0.1534132231347487
20.0,600,101,0.2536229569701328,0.21622198020118588,0.08345205017383352,0.17017090679629931
22.5,600,13,0.2455362772428259,0.2438694558200018,0.08029509257926311,0.1652411846635628
22.5,600,31,0.23877030940707736,0.22957408342982255,0.08029509257926311,0.15847521682781424
22.5,600,61,0.2138259262043005,0.19295536482405282,0.08029509257926311,0.13353083362503737
22.5,600,101,0.2414288756123448,0.20569902701385812,0.08029509257926311,0.16113378303308168
25.0,600,13,0.23335216127256048,0.24217803013595612,0.07766686681995148,0.15568529445260898
25.0,600,31,0.20118713153841067,0.21587650011227097,0.07766686681995148,0.12352026471845919
25.0,600,61,0.17906726503810277,0.171371586070888,0.07766686681995148,0.10140039821815129
25.0,600,101,0.21186376796925466,0.19217967271329006,0.07766686681995148,0.13419690114930316
27.5,600,13,0.2086914941790389,0.22628099684291872,0.07543330387839908,0.13325819030063982
27.5,600,31,0.20630951764447233,0.20352844531941008,0.07543330387839908,0.13087621376607325
27.5,600,61,0.1831738407828958,0.16793063404805048,0.07543330387839908,0.10774053690449673
27.5,600,101,0.1980028291217031,0.17741867792497576,0.07543330387839908,0.12256952524330403
